grievance_text,severity
STILL INTERNET GONE!!! yaar,High
still no connection since long time,High
disconnecting again and again since morning yaar,Low
facing no connection since long time bhai,High
"please check, internet gone again bhai",High
"please check, connection not working from last night",High
"please check, internet not working pls fix yaar",High
"wifi not working, what is this? bhai",High
no connection from last night bhai,High
"wifi gone, what is this? kya masla hai",High
HAVING LAG trouble CONTINUOUSLY!!!,Low
"please check, still no connection yaar",High
no connection pls fix since long time yaar,High
having buffering trouble continuously,Low
UNSTABLE CONNECTION AGAIN!!!,Low
"net gone, what is this? since long time",High
"please check, lag trouble pls fix bhai",Low
buffering trouble from last night,Low
"NET SLOW, WHAT IS THIS?!!! yaar",Low
internet gone since long time yaar,High
"please check, ping too high again",Low
wifi not working since long time bhai,High
"please check, facing internet gone bhai",High
wifi down since morning since long time yaar,High
facing wifi down yaar,High
"please check, wifi gone not resolved yet bhai",High
wifi not working not resolved yet yaar,High
still router problem,Low
"please check, disconnecting again and again again kya ho raha hai",Low
having disconnecting again and again continuously,Low
wifi VERY SLOW!!! yaar,Low
DELAY IN RESPONSE FROM LAST NIGHT!!! bhai,Low
no connection again since long time,High
"cannot access sites, what is this? yaar",Low
"please check, having wifi down continuously",High
net not wrkng not resolved yet since long time,High
still delay in response since long time kya ho raha hai,Low
disconnecting again and again again bhai,Low
"please check, connection gone not resolved yet bhai",High
still wifi not working,High
"please check, intrnet not running pls fix",High
DELAY IN RESPONSE FROM LAST NIGHT!!! bhai,Low
"please check, unstable connection, what is this? kya masla hai",Low
NO CONNECTION SINCE MORNING!!!,High
"please check, wifi down pls fix",High
still keeps dropping since long time bhai,Low
NET very slow AGAIN!!!,Low
"wifi down, what is this?",High
ping too high pls fix bhai,Low
no connection since morning since long time bhai,High
ping too high from last night since long time,Low
"please check, net lagging since morning",Low
NO CONNECTION SINCE MORNING!!! kya ho raha hai,High
internet very slow again bhai,Low
delay in response pls fix bhai,Low
"data loss issue, what is this?",Low
"please check, connection gone from last night yaar",High
net gone from last night bhai,High
FACING NO CONNECTION!!! yaar,High
facing wifi not working yaar,High
"PING TOO HIGH, WHAT IS THIS?!!! kya masla hai",Low
facing internet very slow,Low
"please check, data loss issue since morning yaar",Low
no connection from last night bhai,High
"ping too high, what is this? bhai",Low
"please check, wifi gone pls fix",High
no connection yaar,High
"please check, wifi gone pls fix yaar",High
internet not working since morning since long time bhai,High
having net very slow continuously since long time bhai,Low
STILL DELAY IN RESPONSE!!! bhai,Low
FACING NO CONNECTION!!!,High
NO CONNECTION AGAIN!!! kya ho raha hai,High
SPEED IS LOW AGAIN!!!,Low
"please check, no connection since morning kya ho raha hai",High
wifi down pls fix bhai,High
having net lagging continuously kya ho raha hai,Low
internet very slow pls fix since long time yaar,Low
INTERNET GONE PLS FIX!!!,High
"please check, still no connection bhai",High
facing no connection,High
"please check, intrnet very slow pls fix bhai",Low
delay in response from last night since long time yaar,Low
"please check, having intrnet not working continuously",High
"please check, having data loss issue continuously kya ho raha hai",Low
still buffering problem since long time bhai,Low
having net gone continuously since long time,High
facing disconnecting again and again since long time,Low
STILL NO CONNECTION!!! bhai,High
INTERNET GONE SINCE MORNING!!!,High
wifi GONE!!! kya ho raha hai,High
INTERNET GONE NOT RESOLVED YET!!! yaar,High
HAVING ROUTER PROBLEM CONTINUOUSLY!!! yaar,Low
still connection not working,High
still keeps dropping since long time yaar,Low
packet loss happening not resolved yet since long time yaar,Low
buffering issue again since long time kya ho raha hai,Low
"please check, wifi down, what is this?",High
disconnecting again and again from last night yaar,Low
DELAY IN RESPONSE FROM LAST NIGHT!!! yaar,Low
speed is low not resolved yet since long time,Low
"please check, ping too high not resolved yet",Low
wifi down not resolved yet yaar,High
facing router not running since long time yaar,Low
NO CONNECTION NOT RESOLVED YET!!! bhai,High
"please check, no connection since morning bhai",High
"please check, keeps dropping again yaar",Low
"please check, connection gone from last night",High
STILL NET SLOW!!! kya ho raha hai,Low
dns not resolving again since long time bhai,Low
"please check, packet loss happening not resolved yet bhai",Low
"please check, still buffering issue",Low
WIFI DOWN!!!,High
data loss issue not resolved yet since long time kya ho raha hai,Low
having no connection continuously kya ho raha hai,High
intrnet not running not resolved yet kya ho raha hai,High
no connection pls fix bhai,High
"wifi down, what is this? since long time bhai",High
no connection since morning,High
dns not resolving since morning kya ho raha hai,Low
"please check, connection gone kya masla hai",High
"please check, still speed is low yaar",Low
PING TOO HIGH!!! kya masla hai,Low
lag problem again yaar,Low
"keeps dropping, what is this? since long time yaar",Low
having delay in response continuously yaar,Low
"please check, net gone again",High
wifi down again since long time yaar,High
facing data loss issue since long time,Low
"please check, no connection not resolved yet",High
"please check, cannot access sites since morning yaar",Low
NO CONNECTION AGAIN!!! bhai,High
FACING WIFI DOWN!!! bhai,High
BUFFERING trouble AGAIN!!! yaar,Low
NO CONNECTION PLS FIX!!!,High
STILL NO CONNECTION!!! yaar,High
"please check, wifi down from last night",High
DELAY IN RESPONSE PLS FIX!!! kya ho raha hai,Low
dns not resolving pls fix since long time yaar,Low
"please check, lag issue, what is this? kya ho raha hai",Low
net gone pls fix,High
"please check, wifi down bhai",High
STILL KEEPS DROPPING!!!,Low
connection gone pls fix,High
"please check, internet gone not resolved yet bhai",High
packet loss happening again since long time kya ho raha hai,Low
no connection not resolved yet since long time kya ho raha hai,High
"data loss issue, what is this?",Low
unstable connection since long time bhai,Low
ping too high bhai,Low
"internet gone, what is this?",High
"please check, wifi gone since morning yaar",High
STILL PING TOO HIGH!!! kya ho raha hai,Low
net gone pls fix,High
"please check, having intrnet not running continuously",High
"please check, having net not working continuously yaar",High
"KEEPS DROPPING, WHAT IS THIS?!!!",Low
facing internet gone since long time,High
"please check, no connection not resolved yet",High
INTERNET NOT WORKING NOT RESOLVED YET!!! yaar,High
wifi down since morning since long time,High
router not working yaar,Low
data loss problem kya ho raha hai,Low
wifi down again,High
facing internet gone yaar,High
buffering problem from last night yaar,Low
unstable connection since long time kya ho raha hai,Low
still net gone since long time bhai,High
having router not working continuously since long time kya ho raha hai,Low
ping too high not resolved yet kya ho raha hai,Low
"please check, still connection very slow",Low
HAVING NET lagging CONTINUOUSLY!!! yaar,Low
facing internet not working since long time bhai,High
INTERNET GONE FROM LAST NIGHT!!! bhai,High
"INTERNET GONE, WHAT IS THIS?!!! bhai",High
"NET SLOW, WHAT IS THIS?!!!",Low
"please check, no connection again kya ho raha hai",High
still unstable connection since long time bhai,Low
"please check, delay in response from last night bhai",Low
INTERNET NOT WORKING NOT RESOLVED YET!!!,High
facing ping too high,Low
router not functioning from last night,Low
having speed is low continuously kya ho raha hai,Low
"please check, still wifi down",High
"please check, wifi down, what is this? kya masla hai",High
wifi down pls fix since long time kya ho raha hai,High
FACING PING TOO HIGH!!! bhai,Low
still internet not working yaar,High
"NET SLOW, WHAT IS THIS?!!! yaar",Low
UNSTABLE CONNECTION FROM LAST NIGHT!!!,Low
speed is low since morning,Low
"router problem, what is this? since long time",Low
PACKET LOSS HAPPENING PLS FIX!!! kya masla hai,Low
router problem not resolved yet since long time yaar,Low
"please check, keeps dropping from last night bhai",Low
"please check, wifi gone not resolved yet kya ho raha hai",High
"please check, disconnecting again and again bhai",Low
no connection not resolved yet since long time,High
wifi down pls fix since long time kya ho raha hai,High
wifi down again,High
facing router not functioning bhai,Low
packet loss happening since morning,Low
packet loss happening since long time kya ho raha hai,Low
"please check, having no connection continuously yaar",High
"please check, no connection, what is this?",High
no connection not resolved yet since long time,High
wifi down since long time,High
"please check, connection gone from last night bhai",High
FACING WIFI DOWN!!!,High
"net very slow, what is this? since long time bhai",Low
HAVING NO CONNECTION CONTINUOUSLY!!! yaar,High
"please check, packet loss happening, what is this? bhai",Low
"please check, net gone again kya ho raha hai",High
router problem since long time,Low
INTERNET NOT functioning FROM LAST NIGHT!!! yaar,High
FACING wifi NOT WORKING!!! bhai,High
HAVING NO CONNECTION CONTINUOUSLY!!! kya ho raha hai,High
FACING NO CONNECTION!!!,High
"please check, lag issue from last night",Low
"please check, facing router problem kya masla hai",Low
"please check, no connection, what is this? yaar",High
facing unstable connection since long time kya masla hai,Low
connection gone since morning since long time bhai,High
"please check, router problem from last night yaar",Low
wifi down not resolved yet,High
"please check, net gone from last night bhai",High
KEEPS DROPPING FROM LAST NIGHT!!! yaar,Low
internet very slow not resolved yet kya ho raha hai,Low
CANNOT ACCESS SITES PLS FIX!!! yaar,Low
"please check, no connection since morning bhai",High
STILL DATA LOSS ISSUE!!!,Low
"please check, facing delay in response",Low
"please check, internet gone, what is this? bhai",High
packet loss happening since morning since long time,Low
WIFI DOWN AGAIN!!!,High
WIFI DOWN FROM LAST NIGHT!!! bhai,High
"please check, internet gone since morning yaar",High
router problem from last night since long time bhai,Low
keeps dropping pls fix bhai,Low
having speed is low continuously since long time bhai,Low
net too slow not resolved yet since long time,Low
NO CONNECTION SINCE MORNING!!! kya ho raha hai,High
disconnecting again and again since long time yaar,Low
still internet not functioning kya ho raha hai,High
still ping too high,Low
no connection again since long time bhai,High
ping too high since long time bhai,Low
facing buffering trouble since long time kya ho raha hai,Low
"wifi down, what is this? kya ho raha hai",High
"please check, wifi down again yaar",High
buffering problem again bhai,Low
internet not working since morning,High
"please check, having internet not working continuously yaar",High
having lag problem continuously kya ho raha hai,Low
KEEPS DROPPING PLS FIX!!! bhai,Low
INTERNET NOT WORKING FROM LAST NIGHT!!! kya masla hai,High
"NO CONNECTION, WHAT IS THIS?!!! yaar",High
"please check, connection not working pls fix bhai",High
internet gone pls fix since long time,High
facing connection not working yaar,High
LAG trouble FROM LAST NIGHT!!! bhai,Low
router problem,Low
WIFI DOWN AGAIN!!!,High
net too slow pls fix since long time yaar,Low
"please check, wifi gone since morning kya masla hai",High
ROUTER PROBLEM NOT RESOLVED YET!!! bhai,Low
net slow not resolved yet since long time,Low
"please check, unstable connection kya ho raha hai",Low
WIFI DOWN AGAIN!!! bhai,High
CANNOT ACCESS SITES NOT RESOLVED YET!!! yaar,Low
"unstable connection, what is this? since long time",Low
HAVING INTERNET NOT WORKING CONTINUOUSLY!!! kya ho raha hai,High
"please check, router problem, what is this? bhai",Low
wifi gone bhai,High
"buffering issue, what is this? since long time bhai",Low
PING TOO HIGH SINCE MORNING!!! bhai,Low
"please check, no connection",High
STILL wifi VERY SLOW!!! kya ho raha hai,Low
"please check, wifi down again",High
wifi NOT WORKING!!!,High
wifi GONE NOT RESOLVED YET!!! bhai,High
"please check, dns not resolving since morning",Low
net GONE NOT RESOLVED YET!!! kya ho raha hai,High
cannot access sites from last night since long time bhai,Low
"please check, net not working, what is this? yaar",High
buffering problem since long time kya ho raha hai,Low
intrnet very slow pls fix kya ho raha hai,Low
"please check, wifi down yaar",High
WIFI DOWN AGAIN!!! bhai,High
net gone,High
intrnet not functioning since morning since long time kya ho raha hai,High
BUFFERING trouble FROM LAST NIGHT!!!,Low
"unstable connection, what is this? since long time",Low
no connection pls fix kya ho raha hai,High
"please check, unstable connection pls fix yaar",Low
keeps dropping not resolved yet kya masla hai,Low
FACING DELAY IN RESPONSE!!! kya ho raha hai,Low
"please check, still ping too high bhai",Low
HAVING KEEPS DROPPING CONTINUOUSLY!!! yaar,Low
internet not running since long time kya ho raha hai,High
connection NOT WORKING NOT RESOLVED YET!!! yaar,High
net GONE FROM LAST NIGHT!!! bhai,High
"please check, still connection not working",High
"speed is low, what is this? yaar",Low
STILL WIFI DOWN!!! bhai,High
no connection pls fix since long time kya ho raha hai,High
facing intrnet gone,High
"please check, router problem from last night bhai",Low
"please check, having dns not resolving continuously bhai",Low
FACING UNSTABLE CONNECTION!!!,Low
"please check, having wifi not working continuously bhai",High
INTERNET NOT WORKING NOT RESOLVED YET!!!,High
"no connection, what is this? kya ho raha hai",High
"please check, net very slow not resolved yet yaar",Low
"please check, still no connection",High
router not functioning from last night since long time,Low
internet very slow since morning since long time yaar,Low
still wifi down since long time yaar,High
router not running from last night yaar,Low
WIFI DOWN NOT RESOLVED YET!!! kya ho raha hai,High
still internet not working since long time,High
still disconnecting again and again since long time kya ho raha hai,Low
"please check, internet gone not resolved yet",High
"please check, facing dns not resolving kya masla hai",Low
internet not working since morning since long time kya ho raha hai,High
router not functioning since morning since long time bhai,Low
facing speed is low yaar,Low
"please check, having disconnecting again and again continuously bhai",Low
HAVING INTERNET GONE CONTINUOUSLY!!!,High
NO CONNECTION PLS FIX!!! kya masla hai,High
wifi not working since morning since long time yaar,High
"please check, router problem pls fix kya ho raha hai",Low
wifi not working since morning since long time bhai,High
STILL DISCONNECTING AGAIN AND AGAIN!!! bhai,Low
speed is low since morning,Low
"INTERNET GONE, WHAT IS THIS?!!! kya ho raha hai",High
BUFFERING problem FROM LAST NIGHT!!! kya ho raha hai,Low
having delay in response continuously yaar,Low
lag issue from last night yaar,Low
facing speed is low,Low
NO CONNECTION FROM LAST NIGHT!!! bhai,High
"please check, having no connection continuously bhai",High
KEEPS DROPPING FROM LAST NIGHT!!! bhai,Low
"please check, internet not working since morning",High
"please check, router not wrkng pls fix",Low
packet loss happening from last night,Low
facing ping too high since long time,Low
DATA LOSS ISSUE SINCE MORNING!!! bhai,Low
"please check, still wifi gone yaar",High
having wifi down continuously since long time,High
"please check, router not running not resolved yet",Low
INTERNET GONE!!! kya ho raha hai,High
"please check, cannot access sites, what is this? kya ho raha hai",Low
disconnecting again and again pls fix since long time,Low
disconnecting again and again not resolved yet yaar,Low
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!! yaar,Low
unstable connection from last night since long time yaar,Low
NO CONNECTION AGAIN!!! bhai,High
no connection again yaar,High
NO CONNECTION PLS FIX!!! bhai,High
"PACKET LOSS HAPPENING, WHAT IS THIS?!!! kya ho raha hai",Low
"please check, having wifi down continuously yaar",High
"packet loss happening, what is this? yaar",Low
INTERNET VERY lagging NOT RESOLVED YET!!! bhai,Low
speed is low from last night since long time bhai,Low
no connection again since long time bhai,High
keeps dropping not resolved yet yaar,Low
"please check, ping too high since morning bhai",Low
DELAY IN RESPONSE NOT RESOLVED YET!!!,Low
"please check, having ping too high continuously yaar",Low
having lag issue continuously,Low
having unstable connection continuously since long time,Low
keeps dropping pls fix kya masla hai,Low
connection gone since morning,High
wifi very slow pls fix since long time kya ho raha hai,Low
"please check, internet gone pls fix",High
"please check, dns not resolving, what is this?",Low
"please check, having internet not working continuously kya masla hai",High
having unstable connection continuously bhai,Low
still ping too high since long time,Low
PACKET LOSS HAPPENING SINCE MORNING!!! yaar,Low
"please check, still delay in response",Low
lag issue since morning since long time yaar,Low
"keeps dropping, what is this? bhai",Low
dns not resolving,Low
ROUTER PROBLEM AGAIN!!! bhai,Low
"internet gone, what is this? since long time kya masla hai",High
ROUTER NOT functioning PLS FIX!!! kya ho raha hai,Low
"please check, wifi down since morning bhai",High
"please check, no connection bhai",High
disconnecting again and again not resolved yet since long time,Low
"please check, data loss issue kya ho raha hai",Low
wifi GONE PLS FIX!!! kya ho raha hai,High
"please check, facing wifi down bhai",High
"please check, having wifi down continuously yaar",High
KEEPS DROPPING SINCE MORNING!!! kya ho raha hai,Low
HAVING PING TOO HIGH CONTINUOUSLY!!!,Low
having no connection continuously since long time kya masla hai,High
"please check, having wifi gone continuously yaar",High
"please check, having lag issue continuously kya ho raha hai",Low
UNSTABLE CONNECTION AGAIN!!! yaar,Low
delay in response since long time kya ho raha hai,Low
"net NOT WORKING, WHAT IS THIS?!!! yaar",High
"please check, facing disconnecting again and again yaar",Low
still net gone since long time,High
NO CONNECTION AGAIN!!! bhai,High
"please check, facing packet loss happening",Low
STILL ROUTER PROBLEM!!! kya ho raha hai,Low
still wifi down bhai,High
facing no connection kya masla hai,High
no connection not resolved yet since long time bhai,High
"wifi down, what is this? since long time bhai",High
"please check, still net gone bhai",High
"please check, router problem bhai",Low
"please check, wifi down pls fix",High
having delay in response continuously since long time bhai,Low
"please check, net very slow not resolved yet kya ho raha hai",Low
HAVING ROUTER PROBLEM CONTINUOUSLY!!! bhai,Low
no connection since morning yaar,High
STILL connection GONE!!! bhai,High
net not working again,High
FACING CANNOT ACCESS SITES!!!,Low
HAVING KEEPS DROPPING CONTINUOUSLY!!! yaar,Low
"internet gone, what is this? bhai",High
having lag issue continuously,Low
"WIFI DOWN, WHAT IS THIS?!!!",High
LAG ISSUE NOT RESOLVED YET!!! kya ho raha hai,Low
"please check, unstable connection bhai",Low
having internet very slow continuously since long time bhai,Low
connection gone from last night since long time bhai,High
"please check, connection gone pls fix",High
wifi down from last night yaar,High
internet not functioning pls fix,High
"please check, router not functioning not resolved yet kya ho raha hai",Low
router not working not resolved yet bhai,Low
DISCONNECTING AGAIN AND AGAIN!!!,Low
"please check, still internet gone kya ho raha hai",High
INTERNET NOT WORKING AGAIN!!! kya masla hai,High
FACING DELAY IN RESPONSE!!!,Low
still router not working since long time kya ho raha hai,Low
data loss issue since morning since long time kya ho raha hai,Low
facing router problem,Low
"please check, connection gone since morning kya masla hai",High
internet not running again bhai,High
delay in response not resolved yet yaar,Low
"please check, no connection from last night kya ho raha hai",High
"please check, facing internet not working kya masla hai",High
INTERNET NOT WORKING PLS FIX!!! kya masla hai,High
intrnet not working again,High
STILL wifi NOT WORKING!!!,High
wifi down again kya ho raha hai,High
keeps dropping pls fix since long time bhai,Low
facing lag issue,Low
HAVING NET too slow CONTINUOUSLY!!! yaar,Low
internet not working not resolved yet,High
KEEPS DROPPING NOT RESOLVED YET!!! yaar,Low
no connection not resolved yet,High
BUFFERING trouble SINCE MORNING!!! bhai,Low
"please check, facing internet not functioning",High
"please check, intrnet not working not resolved yet bhai",High
"ping too high, what is this?",Low
FACING INTERNET NOT WORKING!!! yaar,High
disconnecting again and again since morning since long time bhai,Low
no connection since morning since long time,High
having net slow continuously,Low
FACING WIFI DOWN!!! bhai,High
no connection kya masla hai,High
wifi very slow not resolved yet,Low
"no connection, what is this? since long time",High
internet not wrkng from last night kya ho raha hai,High
disconnecting again and again not resolved yet since long time,Low
STILL NO CONNECTION!!! kya masla hai,High
"please check, ping too high again kya ho raha hai",Low
HAVING INTERNET NOT running CONTINUOUSLY!!! bhai,High
internet very slow from last night yaar,Low
BUFFERING trouble PLS FIX!!!,Low
"please check, disconnecting again and again since morning",Low
speed is low since long time yaar,Low
LAG ISSUE AGAIN!!!,Low
net gone again since long time bhai,High
DELAY IN RESPONSE PLS FIX!!!,Low
"buffering issue, what is this? since long time kya ho raha hai",Low
"please check, wifi down bhai",High
lag issue pls fix since long time kya ho raha hai,Low
ping too high pls fix kya ho raha hai,Low
"please check, internet gone since morning kya ho raha hai",High
"please check, net slow from last night",Low
net gone from last night,High
ping too high since long time bhai,Low
still data loss problem since long time,Low
intrnet gone since long time,High
still internet very slow kya masla hai,Low
"please check, disconnecting again and again not resolved yet yaar",Low
"please check, intrnet gone bhai",High
"please check, intrnet not working from last night kya masla hai",High
wifi gone not resolved yet kya ho raha hai,High
wifi down pls fix bhai,High
facing no connection,High
"please check, still wifi not working bhai",High
still connection gone bhai,High
disconnecting again and again not resolved yet since long time yaar,Low
intrnet gone not resolved yet,High
"please check, wifi down pls fix",High
facing delay in response since long time,Low
WIFI DOWN NOT RESOLVED YET!!! kya masla hai,High
NO CONNECTION SINCE MORNING!!! yaar,High
INTERNET GONE!!! bhai,High
"please check, buffering problem again",Low
keeps dropping from last night bhai,Low
"please check, disconnecting again and again again bhai",Low
"net not working, what is this? since long time bhai",High
buffering issue bhai,Low
INTERNET GONE PLS FIX!!! yaar,High
having internet not working continuously since long time,High
"please check, speed is low pls fix",Low
wifi down since long time bhai,High
NET SLOW PLS FIX!!! kya ho raha hai,Low
SPEED IS LOW NOT RESOLVED YET!!! yaar,Low
LAG ISSUE AGAIN!!! yaar,Low
"NO CONNECTION, WHAT IS THIS?!!!",High
keeps dropping pls fix kya masla hai,Low
router not working again since long time bhai,Low
"please check, buffering issue not resolved yet",Low
still wifi not working since long time yaar,High
STILL ROUTER PROBLEM!!! yaar,Low
no connection,High
FACING net GONE!!! bhai,High
internet gone pls fix bhai,High
"please check, still internet not working",High
lag trouble not resolved yet since long time,Low
net slow pls fix since long time bhai,Low
facing connection gone since long time,High
BUFFERING problem FROM LAST NIGHT!!! bhai,Low
having no connection continuously since long time yaar,High
ROUTER NOT WORKING!!! bhai,Low
facing connection gone kya masla hai,High
net NOT WORKING PLS FIX!!!,High
LAG problem FROM LAST NIGHT!!!,Low
"please check, no connection, what is this? kya ho raha hai",High
net slow not resolved yet since long time,Low
unstable connection not resolved yet since long time kya masla hai,Low
"please check, facing lag problem",Low
having intrnet gone continuously,High
packet loss happening pls fix since long time kya ho raha hai,Low
"wifi down, what is this? since long time bhai",High
packet loss happening from last night since long time bhai,Low
having ping too high continuously kya ho raha hai,Low
"please check, disconnecting again and again again",Low
"internet gone, what is this? since long time",High
FACING DNS NOT RESOLVING!!! kya ho raha hai,Low
no connection again,High
"please check, lag trouble from last night kya ho raha hai",Low
disconnecting again and again pls fix kya ho raha hai,Low
facing disconnecting again and again since long time kya ho raha hai,Low
having internet gone continuously since long time,High
"please check, still internet not functioning bhai",High
net not working again bhai,High
still disconnecting again and again since long time yaar,Low
DELAY IN RESPONSE PLS FIX!!! kya masla hai,Low
wifi down pls fix since long time yaar,High
wifi not working kya ho raha hai,High
"please check, still internet gone bhai",High
"please check, connection not working, what is this? kya ho raha hai",High
ping too high since morning since long time bhai,Low
still internet gone since long time yaar,High
having no connection continuously yaar,High
internet gone yaar,High
facing wifi down since long time,High
STILL NO CONNECTION!!! yaar,High
data loss issue since long time yaar,Low
NO CONNECTION SINCE MORNING!!! kya masla hai,High
"please check, packet loss happening bhai",Low
router not functioning,Low
"please check, wifi gone, what is this? kya ho raha hai",High
ping too high bhai,Low
connection not working since morning,High
"please check, router not functioning from last night kya ho raha hai",Low
facing intrnet not working since long time bhai,High
no connection again,High
internet gone pls fix,High
still disconnecting again and again since long time bhai,Low
still connection gone kya ho raha hai,High
NO CONNECTION PLS FIX!!! bhai,High
INTERNET GONE!!!,High
no connection since morning since long time,High
HAVING INTERNET GONE CONTINUOUSLY!!! yaar,High
"please check, still data loss problem",Low
data loss issue from last night since long time,Low
internet not working pls fix kya masla hai,High
having router problem continuously since long time bhai,Low
wifi gone again since long time bhai,High
net GONE FROM LAST NIGHT!!! bhai,High
"please check, delay in response pls fix",Low
having packet loss happening continuously since long time bhai,Low
facing disconnecting again and again since long time bhai,Low
DATA LOSS ISSUE!!!,Low
facing no connection,High
"INTERNET NOT WORKING, WHAT IS THIS?!!! yaar",High
"please check, still wifi down yaar",High
intrnet very lagging again,Low
net NOT WORKING FROM LAST NIGHT!!! kya ho raha hai,High
internet not working from last night kya ho raha hai,High
net too slow since long time bhai,Low
keeps dropping from last night since long time,Low
lag trouble not resolved yet yaar,Low
DNS NOT RESOLVING PLS FIX!!!,Low
"DELAY IN RESPONSE, WHAT IS THIS?!!! kya ho raha hai",Low
"please check, having keeps dropping continuously kya ho raha hai",Low
disconnecting again and again from last night since long time kya ho raha hai,Low
FACING NO CONNECTION!!!,High
HAVING NO CONNECTION CONTINUOUSLY!!! bhai,High
"please check, unstable connection yaar",Low
having cannot access sites continuously since long time bhai,Low
unstable connection since morning since long time kya ho raha hai,Low
router not working not resolved yet since long time yaar,Low
having net not working continuously since long time,High
still data loss issue since long time kya masla hai,Low
connection gone kya ho raha hai,High
data loss problem since long time kya masla hai,Low
PING TOO HIGH FROM LAST NIGHT!!!,Low
WIFI DOWN AGAIN!!! yaar,High
HAVING INTERNET GONE CONTINUOUSLY!!!,High
data loss trouble pls fix bhai,Low
internet not wrkng since morning since long time yaar,High
"please check, having data loss trouble continuously kya ho raha hai",Low
"please check, net not working, what is this? bhai",High
"please check, dns not resolving from last night kya masla hai",Low
lag issue since morning since long time kya ho raha hai,Low
"please check, facing wifi gone",High
still internet very very slow since long time,Low
internet very slow not resolved yet since long time kya ho raha hai,Low
"please check, facing speed is low yaar",Low
packet loss happening pls fix since long time yaar,Low
"please check, disconnecting again and again pls fix yaar",Low
facing net gone since long time,High
router not running not resolved yet since long time kya masla hai,Low
having dns not resolving continuously bhai,Low
unstable connection not resolved yet since long time,Low
internet not working pls fix yaar,High
speed is low pls fix since long time bhai,Low
INTERNET GONE NOT RESOLVED YET!!! kya ho raha hai,High
LAG ISSUE AGAIN!!! bhai,Low
cannot access sites bhai,Low
HAVING CANNOT ACCESS SITES CONTINUOUSLY!!! yaar,Low
INTERNET GONE NOT RESOLVED YET!!! yaar,High
"LAG ISSUE, WHAT IS THIS?!!!",Low
DATA LOSS ISSUE NOT RESOLVED YET!!! yaar,Low
FACING SPEED IS LOW!!!,Low
still disconnecting again and again since long time,Low
still delay in response since long time bhai,Low
"please check, still wifi down kya ho raha hai",High
wifi down again since long time,High
"please check, facing net very slow bhai",Low
still buffering issue yaar,Low
facing no connection since long time bhai,High
speed is low from last night since long time bhai,Low
LAG ISSUE SINCE MORNING!!! bhai,Low
facing cannot access sites since long time,Low
connection NOT WORKING AGAIN!!!,High
INTERNET NOT WORKING FROM LAST NIGHT!!!,High
router problem,Low
net GONE FROM LAST NIGHT!!! yaar,High
delay in response since long time kya ho raha hai,Low
still intrnet very lagging,Low
"please check, net not working",High
FACING DISCONNECTING AGAIN AND AGAIN!!! yaar,Low
wifi down from last night since long time bhai,High
internet gone not resolved yet since long time kya ho raha hai,High
PACKET LOSS HAPPENING SINCE MORNING!!! yaar,Low
still ping too high since long time,Low
"please check, ping too high, what is this? bhai",Low
"please check, unstable connection bhai",Low
connection not working not resolved yet,High
"NO CONNECTION, WHAT IS THIS?!!!",High
"NO CONNECTION, WHAT IS THIS?!!! kya masla hai",High
wifi down since morning yaar,High
still no connection yaar,High
having wifi not working continuously kya ho raha hai,High
still wifi down,High
"please check, speed is low, what is this? kya ho raha hai",Low
ping too high since morning kya ho raha hai,Low
"please check, facing router not wrkng kya ho raha hai",Low
STILL PACKET LOSS HAPPENING!!! kya masla hai,Low
"please check, net gone not resolved yet kya ho raha hai",High
wifi down since morning since long time bhai,High
"please check, connection gone",High
"internet not working, what is this? kya ho raha hai",High
speed is low since morning kya masla hai,Low
having intrnet not wrkng continuously kya ho raha hai,High
"please check, no connection again yaar",High
FACING DELAY IN RESPONSE!!!,Low
"wifi gone, what is this? since long time bhai",High
DNS NOT RESOLVING NOT RESOLVED YET!!! kya ho raha hai,Low
delay in response from last night since long time bhai,Low
HAVING NO CONNECTION CONTINUOUSLY!!! bhai,High
wifi gone since morning bhai,High
connection not working not resolved yet kya ho raha hai,High
facing speed is low since long time,Low
"SPEED IS LOW, WHAT IS THIS?!!! bhai",Low
"please check, wifi down since morning bhai",High
FACING DNS NOT RESOLVING!!!,Low
having net lagging continuously since long time yaar,Low
"please check, net not wrkng pls fix bhai",High
ROUTER NOT WORKING!!! bhai,Low
cannot access sites again since long time bhai,Low
"no connection, what is this? bhai",High
"please check, router not wrkng from last night yaar",Low
"please check, no connection kya ho raha hai",High
"please check, internet gone pls fix",High
"please check, having dns not resolving continuously",Low
still no connection kya ho raha hai,High
no connection from last night since long time kya masla hai,High
PACKET LOSS HAPPENING PLS FIX!!! bhai,Low
"please check, having connection very slow continuously bhai",Low
ping too high,Low
"INTERNET GONE, WHAT IS THIS?!!!",High
"disconnecting again and again, what is this? since long time bhai",Low
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!! yaar,Low
STILL BUFFERING ISSUE!!! yaar,Low
wifi down since morning since long time kya ho raha hai,High
"please check, net slow, what is this? bhai",Low
internet very slow again,Low
FACING NO CONNECTION!!! yaar,High
having wifi down continuously bhai,High
FACING INTERNET VERY SLOW!!! kya ho raha hai,Low
ping too high since long time kya ho raha hai,Low
having disconnecting again and again continuously since long time,Low
"please check, buffering problem pls fix yaar",Low
buffering trouble again kya ho raha hai,Low
FACING connection NOT WORKING!!! kya ho raha hai,High
